text	label
Kansas GOP leadership just successfully blocked Medicaid expansion for another legislative session — in the middle of a pandemic and economic crisis. That’s so deeply irresponsible. #KSSen  #KSLeg  	0
Trump may be done with the  coronavirus  but the  coronavirus  is not done with America by a long shot	0
1/Four out of the five most populous counties in Texas — Dallas, Harris, Bexar and Travis — have hit their highest seven-day average of new cases of #coronavirus  in the last week. Dallas and Harris are currently at their highs.   	0
Florida's Gov. Ron DeSantis shrugs off bad  coronavirus  news as cases rocket 35% in a single day.    	0
A lot of cities are canceling Fourth of July celebrations because of the  coronavirus . You can gather to riot but not celebrate our country?   Liberal hypocrisy at its finest.	0
URGENT ALERT!!!  All MAGA Morons, before you attend your  coronavirus  trump rally, do not forget to sign your waiver saying if you get  coronavirus , it is not trumps fault.  By the way, when you attend, the person standing next to you who coughed probably has  coronavirus .  Enjoy!!!  	0
Dr. Fauci delivered a grim assessment of #coronavirus  calling #COVID19  his “worst nightmare”—highly contagious respiratory infection causing serious illness & death.  “In a period of 4 months, it has devastated the whole world. And it isn’t over yet.”  	0
If we had a president who told people to wear masks, less Americans would end up dying of  coronavirus	0
Trump’s mishandling of #COVID19  and his senseless economic policies led us into a recession and brought an end to the longest economic expansion in American history. This is his legacy.   	0
14 states and Puerto Rico hit highest seven-day average of new  coronavirus  infections    	0
Coronavirus : Beijing shuts food market and goes into in 'wartime emergency mode' after spike in COVID-19 cases   	0
Survey reveals French public has lost confidence in scientists during the  coronavirus  pandemic    	0
Iran is struggling to maintain its influence over Iraqi militias since the killing of a top Iranian general and top militia leader in a U.S. drone strike. Iran's economy is being hammered by the combination of U.S. sanctions and the  coronavirus  pandemic.    	0
By now, we ought to be seeing some evidence of increasing #COVID19  cases from the mass protests. That we are not (and not even an increase in testing demand) raises very serious doubts about the #coronavirus  lockdowns and other NPIs (many of which are still ongoing). (thread  )	0
Once again Trump Admin is not prepared. Why wasn’t this anticipated? Remdesivir, the only drug known to work for Covid-19 treatment will run out at the end of this month. Guess it’s not one of Jared Kushner’s “success stories”  	0
Oh look.  Coronavirus  didn't go anywhere. We're all still dying. Nice of Trump and the gang to just ignore it.  @realDonaldTrump  , #KillingAmerica  , one day at a time! Good times America! Good times!!!    …	0
As the rioters and looters took to the streets for two weeks the media said they were expressing their feelings.  Now that we are talking about Trump rallies all of the sudden the media is talking about the surge of  coronavirus .   Hypocrisy at its finest.	0
As theaters and clubs remain closed, 90% of independent venue owners, promoters and bookers say that they will have to close permanently within the next few months without assistance.   	0
With nearly 1,100 dead and hospitalizations spiking rapidly in Arizona, lawmakers and medical professionals are warning there might not be enough emergency room beds to handle what could be a big influx of new cases.    	0
The  coronavirus  pandemic is ebbing in some of the countries that were hit hard early on. But the number of new cases worldwide is growing, with more than 100,000 reported each day.     	0
80% of US voters believe things are out of control in the country, with majorities concerned about the  coronavirus , the economy and President Trump’s ability to unite the nation, according to latest NBC News/WSJ poll.    	0
Are they literally f****** kidding!?! Shut down Nations, demolish economies, lock people inside their homes, strip their sanity and freedom only now to state ASYMPTOMATIC SPREAD IS 'EXTREMELY RARE'! But don't worry no one will protest over this! #Scamdemic 	0
coronavirus  out of control in AZ and doug ducey is still in charge ...  	0
"Biden says Trump’s handling of the  coronavirus  pandemic was ""almost criminal""    "	0
COVID-19 has taken away everything we had our freedom, our peace of mind and even our lives. Now, the time has come to take revenge on the  coronavirus  by digesting it, literally. #CoronaFreeBharat_withPatanjali  	0
117,000 Americans have now died from the  coronavirus . There is no cure. There is no vaccine. There still aren’t enough tests. Or tracing. Cases are spiking in some states. And the president of the United States has absolutely no plan to do anything about it.	0
We aren’t even out of the first wave of covid. Come on people!! 	0
Wigan has more  Coronavirus  deaths than Australia and New Zealand combined.	0
Texas saw a surge of COVID-19 cases in our private detention centers this week.   Sen. Cornyn is a top recipient of campaign money from the private detention industry. So what is he doing about it? Nothing.  	0
How  corona virus  ruined whole year     …	0
Cuomo threatens to shut down Manhattan, Hamptons again if  coronavirus  social-distancing rules broken//This genius must have been in a coma the past two weeks. Did he miss a million people screaming and spitting two feet from each other for days?! moron  	0
As of this week, more than 30,000 people have died from the  coronavirus  in Brazil, including 1,262 on Tuesday — which was the nation’s highest one-day total.  The country is nearing 800,000 cases, second only to the U.S.     	0
Boris Johnson's 11 fatal errors in handling  coronavirus  crisis which cost lives   	0
Coronavirus  is murdering American citizens  Donald Trump's solution  PLEASE DO NOT SUE ME IF YOU CATCH THE  CORONAVIRUS  AT MY RALLY   ARE YOU FUCKING* KIDDING ME  110 STILL COUNTING DEAD FROM THE  CORONAVIRUS   TRUMP DON'T GIVE A FUK ABOUT NO ONE EXCEPT HIMSELF AND HIS RE-ELECTION  	0
Unreal. As Trump resumes indoor rallies, his campaign has implemented a new policy that attendees CANNOT SUE if they contract  coronavirus  at an event.  Trump supporters, please think about what this means: the man does not care if you live or die.   	0
6 hour lines to vote   Hundreds of polling places closed   States unprepared for mail voting   Huge numbers of ballots rejected   Voter suppression we’re seeing in Georgia today could happen nationwide in Nov if we don’t need fix broken voting system ASAP   	0
# Coronavirus  fatalities in Iran exceeded 50,000 - This catastrophe and such great loss of lives could have been avoided. The death toll in #Iran  and even the official figures could not be compared to the death toll in other countries in the Middle East.   	0
Netanyahu says public carelessness driving  coronavirus  infections up   	0
Why hasn’t @SpeakerPelosi  pushed to freeze rent during the  coronavirus  pandemic?   San Francisco is one of the most expensive zip codes to live in.   Perhaps, she’s got 365,000 reasons not to oppose landlords. #ReplacePelosi 	0
L.A. County  Coronavirus  Update: Highest Single-Day Total of New Cases Since Pandemic Began     	0
"Trump's rally ""meets every criteria for the riskiest type of event""  One expert: ""With a little bad luck, that scenario could end in the seeding of community outbreaks of COVID-19 across the U.S.”  For Trump, it's always politics over the nation's welfare  "	0
So, it begins... again!   Second wave of  coronavirus  is happening, in China. 	0
