cleaned	prediction
in opinion if the united states had the coronavirus death rate of the average femaleled country, 102,000 american lives would have been saved out of the 114,000 lost, @nickkristof writes  	1
this isnt good: covid19 hospitalizations have been on the rise since memorial day in texas, the carolinas, calif., oregon, ark., miss., utah, and arizona. overall, the us continues to have 20,000 known cases per day and testing is down rather than up. 	0
14 states and puerto rico hit highest sevenday average of new coronavirus infections  	0
new zealand goes 20 days with no new coronavirus cases   	2
yesterday, the u.s. surpassed 2 million coronavirus cases ⊔ and the virus is still killing nearly 1,000 americans per day. it⊙s heartbreaking. this pandemic is not behind us and we need to stay vigilant in making sure our communities are prepared.	0
christian happi is working in nigeria to develop covid19 tests. ⊜people might have thought that this work was impossible in africa, but we are demonstrating that the continent⊙s scientists can generate crucial data in the global fight against covid19.⊝  	2
in a matter of months, the covid19 pandemic has brought the academic job market close to collapse in many parts of the world.  	0
dem 2 brothers and a grill in charleston is one of 25 barbecue places in the country to receive $10,000 from kingsford charcoal. 	2
wearing a mask for coronavirus can be a good thing... especially if you have bad wrinkles, bad breath, bad teeth, or no teeth! 	2
coronavirus r all you need to know 	1
l.a. county coronavirus update: highest singleday total of new cases since pandemic began   	0
joe biden has increased his lead over trump to 12 percentage points in michigan, where voters are unhappy with trumps response to the coronavirus pandemic, according to a new poll. #biden2020 	1
coronavirus : oxford scientists working on covid19 vaccine near breakthrough on antibody treatment 	2
india: protect yourself and others from coronavirus . 	1
health experts warn of the potential for covid19 spread when president trump resumes his rallies next weekend in oklahoma. trump plans to speak before supporters indoors at a 19,000seat arena in tulsa on saturday.  	0
if you reverse the word coronavirus you get surivan or oc translatation from hindi to english means sunrise & eye. #conspiracytheory #illuminati #coronavirus 	1
this dog groomer is working hard to keep new york city dogs clean and healthy by offering free services to pet parents financially impacted by the coronavirus pandemic  	1
wigan has more coronavirus deaths than australia and new zealand combined.	0
$87 million dollars is a lot of hardearned tax payer money. and at the moment money is hard to come by for a lot of new zealanders. one principal says he now has $70,000 of modems stored in a school cupboard. what a terrible waste. #education #nzpol 	0
since the signing of #schengen treaty 35 years ago today, citizens have learned to enjoy the value of freedom of movement in the eu. i am happy that after the restrictions imposed by the #coronavirus pandemic, borders are now reopening across the schengen area and the eu. 	2
this is a tragedy we knew was coming. ⊜nearly 2,000 people in and around leticia are sick with covid19. about 70 have died. that might not sound like a colossal death toll at first. this amounts to the highest percapita death rate in all of colombia⊝ 	0
satellite images of packed wuhan hospitals suggest coronavirus outbreak began earlier than thought 	1
1four out of the five most populous counties in texas ⊔ dallas, harris, bexar and travis ⊔ have hit their highest sevenday average of new cases of #coronavirus in the last week. dallas and harris are currently at their highs. 	0
minuchin and the trump administration refuse to reveal who got the 500 billion in aid. why don⊙t we call this what it is white collar looting but its billions they are stealing #endtrumpswaronamerica 	0
