text	label
Sheikh Rasheed Tested Positive for  Corona Virus . May good bless him with good health and he recover soon. #SheikhRasheed 	0
Just got my  coronavirus  test results  	0
BREAKING NEWS: Dinkleberg tests negative for  Coronavirus   	0
Oxford scientists working on  Coronavirus  vaccine 'near breakthrough' on antibody treatment    myeveryday.news/post/oxford-sc ientists-working-on-coronavirus-vaccine-near-breakthrough-on-antibody-treatment   … 	0
Sinovac Biotech says its  coronavirus  shot is safe and capable of eliciting an immune response from human trials    	0
Sources: Expected protocol if an NBA player leaves the Orlando bubble: Quarantined for no less than 10 days and must have two negative  coronavirus  tests.	0
Forget the #coronavirus . Somebody, PLEASE develop a vaccine for white guilt!  #WeveGotACountryToSave 	0
# StudentLivesMatter  Tealangana CM office sealed due to staff members tested positive for  corona virus .If virus can enter in to the cm office which is taken care with all protective measures,why can't it enters in to the college with less protective measures?So please listen to us	0
By now, we ought to be seeing some evidence of increasing #COVID19  cases from the mass protests. That we are not (and not even an increase in testing demand) raises very serious doubts about the #coronavirus  lockdowns and other NPIs (many of which are still ongoing). (thread  )	0
Once again Trump Admin is not prepared. Why wasn’t this anticipated? Remdesivir, the only drug known to work for Covid-19 treatment will run out at the end of this month. Guess it’s not one of Jared Kushner’s “success stories”  google.com/amp/s/amp.cnn. com/cnn/2020/06/10/health/us-coronavirus-wednesday/index.html   …	0
Good news that further #coronavirus  human vaccine trials begin next week. An encouraging step forward in our national effort.    itv.com/news/london/20 20-06-08/imperial-college-london-to-start-human-covid-19-vaccine-trials/  …	0
Since the signing of #Schengen  Treaty 35 years ago today, citizens have learned to enjoy the value of freedom of movement in the EU. I am happy that after the restrictions imposed by the #coronavirus  pandemic, borders are now reopening across the Schengen area and the EU.  	0
JUST IN: 4 State House, Nairobi staffers test POSITIVE for  Coronavirus  - Kanze Dena #coronavirus  #mondaythoughts 	0
UK will not participate in EU’s #coronavirus  fast track vaccine scheme. #torybrexit  #COVID19  catastrophe  theneweuropean.co.uk/top-stories/uk -government-left-out-of-coronavirus-scheme-due-to-brexit-1-6697267   …	0
117,000 Americans have now died from the  coronavirus . There is no cure. There is no vaccine. There still aren’t enough tests. Or tracing. Cases are spiking in some states. And the president of the United States has absolutely no plan to do anything about it.	0
# PAYCUTMPS  Time for MPs LORDS Do right thing Min 20% PayCut RT @SWLNHS : Stay alert to the symptoms of  coronavirus   Self-isolate and order a test if you develop: - a new continuous cough -…   272499931836829698   …	0
We are currently overwhelmed with what’s happening in our cities but spare a thought for the people of eastern Uttar Pradesh.  One  coronavirus  testing lab for a population of 30 million.   I report from Jaunpur and Varanasi.       …	0
Donors tonight at $3-million fundraiser with Pres Trump at his NJ Golf Club underwent  Coronavirus  tests to get in. They had to test negative for COVID-19, fill out a wellness questionnaire and pass a temperature screening. Costs for the tests paid by the Trump Campaign and RNC.	0
Somalia's extremist group al-Shabaab sets up COVID-19 treatment centre, with a round-the-clock hotline. Interesting that Shabaab is more enlightened on  coronavirus  than the Tanzania & Burundi govts!   africanews.com/2020/06/13/som alia-covid-19-hub/  …	0
There are more than 135 vaccines in development to prevent the spread of  coronavirus . Keep track of the progress of all the vaccines that have reached human trials here:    	0
Indonesia #COVID19  Daily people tests Stats:  Until today updates Indonesia has tested total 287,478 people with result of 34,317 total positive cases, with 11.93% positive rate.   Below is charts of people tested per day.  #COVID19indonesia 	0
# COVID19  drive-in test centres run by Deloitte; contract tracing run by Serco, helped by Capita. I think George Bernard Shaw had something to say on the matter in 1911.  #coronavirus   	0
I tested positive for SARS-CoV-2, in contact tracing two weeks ago. As per Uttar Pradesh guidelines, I was immediately isolated.  Here's my personal experience of days in isolation ward-26, in Govt's PGI Hospital, Noida. #GautamBuddhNagar  #COVID19India  indiatoday.in/india/story/co vid-diary-my-week-as-a-coronavirus-patient-at-a-noida-hospital-1688537-2020-06-13   …	0
This isn't good: COVID19 hospitalizations have been on the rise since Memorial Day in Texas, the Carolinas, Calif., Oregon, Ark., Miss., Utah, and Arizona. Overall, the US continues to have 20,000 known cases per day and testing is down rather than up.  washingtonpost.com/nation/2020/06/09/coronavirus-live-updates-us/  …	0
# PMIKLeadingPakistan  Former PM Yousuf Raza Gilani tests positive for  coronavirus   	0
Coronavirus : Oxford scientists working on COVID-19 vaccine 'near breakthrough' on antibody treatment   rus-oxford-scientists-working-on-covid-19-vaccine-near-breakthrough-on-antibody-treatment-12002160   …	0
There are more than 135 vaccines in development to prevent the spread of the  coronavirus . Keep track of the progress of the vaccines that have reached human trials here.    	0
WH announces Jared has been undergoing 2 years of Botox as a  Coronavirus  vaccine. Results are disappointing. He’s lost his dimples and turned into Stephen Miller.  	0
Thankfully, all four officers have been charged. The protestors have made their point and change is happening. But the massive crowds of protestors is overkill at this point and a serious health risk with the  coronavirus  still out there with no cure or vaccine.	0
The University of Houston has suspended voluntary workouts for all student-athletes after six symptomatic student-athletes in various sports tested positive for the  coronavirus .     	0
People who say the  coronavirus  test is uncomfortable I raise you this  	0
To control #coronavirus , testing and tracing must become a new way of life.  This video explains what you need to do to play your part.  More info:        for more information and to book a test. 	0
