tweet	party
Ten years ago today, I signed the Affordable Care Act into law. It protected preexisting conditions, cut the uninsured rate in half, and lots more. But it's still under political attack right when we need care the most. We have to protect it, build on it, until we cover everyone.	0
Sometimes it takes the wisdom and resilience of those who have been marginalized for all of us to remember the importance of community and mutual aid.	0
#ObamaLeaders convened 200 inspiring changemakers from across the Asia Pacific. Take a look at their week in Kuala Lumpur with @BarackObama, @MichelleObama and more:	0
"Did you miss your chance to #GetCovered with affordable health coverage at  ? 

Well you’re in luck: The deadline has been extended to 11:59pm PT on December 17th!

Sign up at   now!"	0
It was remarkable to be back in the Asia-Pacific region with my sister this week, joined by hundreds of talented and optimistic @ObamaFoundation leaders. They’re making their mark on this region—and the whole world—and that's good for all of us.	0
Politicians shouldn’t be picking their voters. Voters should be picking their representatives. But unless we act, the status quo will remain in states all across the country. Let's make sure maps are drawn fairly when redistricting happens again in 2021: 	0
Proud of all the Americans who showed up to vote yesterday, electing a set of hopeful, forward-thinking leaders primed to protect Medicaid, draw fair voting maps, and reduce gun violence. A great night for our country—one that’ll leave a lasting legacy.	0
Proud to endorse an outstanding group of Virginia Democrats in Tuesday’s election—candidates who’ll not only advance the causes of equality, justice, and decency, but help ensure that the next decade of voting maps are drawn fairly. That’s good policy—and good for our politics.	0
Today’s the first day of open enrollment on  , and high-quality coverage might be more affordable than you think. Nearly 9 in 10   customers qualify for financial help—so if you or someone you know needs insurance, #GetCovered today.	0
One challenge will define the future for today’s young generation more dramatically than any other: Climate change. The millions of young people worldwide who’ve organized and joined today’s #ClimateStrike demand action to protect our planet, and they deserve it.	0
Just 16, @GretaThunberg is already one of our planet’s greatest advocates. Recognizing that her generation will bear the brunt of climate change, she’s unafraid to push for real action. She embodies our vision at the @ObamaFoundation: A future shaped by young leaders like her.	0
Recent court decisions make it clear that the change we need to restore our democracy has to come from the ground up. @Allontheline’s work to ensure an accurate census count and achieve fair maps in 2021 has never been more important. Join us today:  	0
Here are a couple of articles backed by new research that are worth taking a look at: A new study on the Medicaid expansion my administration fought for under the Affordable Care Act—and how these policy decisions affect lives in real terms: …	0
What truly makes our country great is its diversity. I’ve seen that beauty in so many ways over the years. Whether we are born here or seek refuge here, there’s a place for us all. We must remember it’s not my America or your America. It’s our America.	0
50 years ago, history was written at the Stonewall Inn when New York's LGBT community stood up, spoke out, and started a movement. In 2016 I was proud to designate it as a national monument—a reminder the arc of our history is an arc of progress as long as we keep pushing for it.	0
On Juneteenth, we celebrate our capacity to make real the promise of our founding, that thing inside each of us that says America is not yet finished, that compels all of us to fight for justice and equality until this country we love more closely aligns with our highest ideals.	0
Outside the Oval Office, I kept a painting of a small crowd huddled around a pocketwatch, waiting for the moment the Emancipation Proclamation took effect. On Juneteenth, we celebrate the anniversary of that news - freedom - reaching slaves in Texas. And something more:	0
This is worth a read: a thought-provoking reminder that education reform isn’t a cure-all. As a supporter of education reform, I agree that fixing educational inequality requires doing more to address the broader, systemic sources of economic inequality. …	0
Yes we can, Greta. I’m hopeful because of you and all the young people who are fighting to protect the planet. Keep at it. …	0
Last week, it was Virginia Beach. But day after day and year after year, too many families and communities are shattered by senseless gun violence. We can't get numb to this. On National Gun Violence Awareness Day, pledge to speak out, #WearOrange — and vote — to protect lives.	0
You've got a lot to be proud of, Jiwandeep. Thanks for everything you do to make this country a little more equal. Turban looks great, by the way. Happy Pride Month, everybody! …	0
Here’s a great story: While we’ve still got a lot of work to do to make college affordable for everyone, that didn’t stop Robert F. Smith from seizing an opportunity to make a difference. He’s erasing the student loan debt for this year’s @Morehouse grads. …	0
This generation of climate activists is tired of inaction, and they've caught the attention of leaders all over the world. So while this challenge is only getting more urgent, they show us the kind of action it'll take to meet this moment.	0
Young people all over the world are leading the way in the fight to protect our planet because they know their future depends on it. This Earth Day, I want to celebrate the courageous, committed young leaders who are stepping up to save the one planet we've got.	0
Last night I had the chance to meet with first-term Democrats in Congress—it's a young, diverse class, stocked with a bunch of my campaign and administration alums who’ve taken the torch. This group is going to be driving progress for a long time to come.	0
Preethi, Alice, and Sefora are just three of many @ObamaFoundation leaders who remind us what International Women’s Day is all about: imagining a world free of artificial ceilings for the next generation—and doing the hard work to get us there.	0
And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training and mentoring young women across the continent to adopt a new model of leadership, one that puts gender equality at the heart of economic development.	0
.@BarbeAlice is helping refugees resettle into welcoming communities in France, offering them job training and language immersion, as well as a place to stay. More importantly, she’s fighting a narrative that suggests our differences are more important than our shared humanity.	0
On International Women’s Day, I’m reflecting on the future we all want for our daughters: one where they can live out their aspirations without limits. And I’m celebrating some of the women who are building that future for all of us today.	0
Ahead of #MBKRising and in honor of Black History Month, @BarackObama shared a nonfiction reading list that can help to provide some essential context about the challenges that many people of color face every day. Take a look, then tune in tomorrow: …	0
In the year since their friends were killed, the students of Parkland refused to settle for the way things are and marched, organized, and pushed for the way things should be - helping pass meaningful new gun violence laws in states across the country. I'm proud of all of them.	0
We lost two great Americans today – Frank Robinson and John Dingell – citizens who inspired me and so many others by leading on the civil rights issues of our time, opening doors to others, and leaving it all on the field.	0
President Obama challenged us to improve our communities in 2019—and mentorship is a concrete action we can take. With @MENTORnational, we’re expanding mentoring across the U.S. On #InternationalMentoringDay help a young person reach their full potential:  	0
There’s no better time than the holidays to give back to your community. Yesterday I got to do just that at @ChildrensHealth. As we celebrate the season and look forward to 2019, let’s recommit to doing our part to build a world that is a little more generous, tolerant, and kind. …	0
Today is the last day of open enrollment. That means it’s the deadline to make sure you and the people you love have health insurance in 2019. So head over to   to get covered! Here’s what else you need to know today about health care:	0
Joe is right. Head to   before tomorrow’s deadline. And nice bracelet, by the way. …	0
No jump shots. No ferns. No memes. Not this time. I’m going to give it to you straight: If you need health insurance for 2019, the deadline to get covered is December 15. Go to   today and pass this on — you just might save a life.	0
"Just ONE WEEK LEFT to #GetCovered for 2019. Most folks can find coverage for $75 or less per month.

Head over to   today and sign up for a plan that’s right for you and your family."	0
I am grateful for the next generation of leaders -- the young people who are tolerant, creative, idealistic and doing the work to create the world as it should be. Who understand that hope requires action. From the Obama family to yours, Happy Thanksgiving. …	0
The Obama Presidential Center represents a historic opportunity to build a world-class museum and public gathering space on Chicago’s South Side. Take a look at the future campus:	0
Our future depends on all our young people, including our boys and young men of color, being able to achieve their dreams. Today, I’m proud to share @MBK_Alliance’s first investments in communities devoted to this mission. Get inspired: …	0
If you take that power and vote, something powerful happens. Change happens. Hope happens. And with each new step we take in the direction of fairness, and justice, and equality, and opportunity, hope spreads. Go vote! 	0
When you vote, you have the power to make it easier for a student to afford college, and harder for a disturbed person to shoot up a classroom. When you vote, you have the power to make sure a family keeps its health insurance.	0
When you vote, you have the power to protect voting rights. To make sure our criminal justice system treats everyone equally under the law. To strengthen laws that protect women in the workplace from harassment – and make sure they’re paid equally.	0
Tomorrow’s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Making sure working families get a fair shake is on the ballot. The character of our country is on the ballot.	0
Speaking of preexisting conditions, open enrollment starts today. If you or someone you know needs health care, visit  . Thanks to financial help, most people can find plans for $75/month or less, so check out your options and find a plan that works for you.	0
Elections matter. You have the power to protect a family’s health care. Make a plan, grab some friends, and vote: 	0
"While we're talking about preexisting conditions, the ACA is the law that finally protected your coverage for preexisting conditions.

Those protections and your health care are absolutely at stake on Tuesday. Vote for Democrats who’ll protect them. …"	0
Your vote can decide the health care of millions. Your voice can determine the character of our country. You have power — use it! In most states, you don't even have to wait until Election Day to cast a ballot. Find out where you can vote before Nov. 6:  	0
We grieve for the Americans murdered in Pittsburgh. All of us have to fight the rise of anti-Semitism and hateful rhetoric against those who look, love, or pray differently. And we have to stop making it so easy for those who want to harm the innocent to get their hands on a gun.	0
I’m so proud of the work @MichelleObama has done over the years to ensure adolescent girls have access to education, and I know that the @GirlsAlliance will be another great chapter in her effort to get girls the opportunities they deserve. …	0
Today, I’m proud to endorse even more Democratic candidates who aren’t just running against something, but for something—to expand opportunity for all of us and to restore dignity, honor, and compassion to public service. They deserve your vote:	0
Today I’m proud to endorse such a wide and impressive array of Democratic candidates – leaders as diverse, patriotic, and big-hearted as the America they’re running to represent:	0
This National Gun Violence Awareness Day, show your commitment to keeping our kids safe from gun violence. Then, for everyone we’ve lost, take action to change our leadership and our laws until they reflect that commitment - no matter how long it takes. …	0
Michelle and I are so inspired by all the young people who made today’s marches happen. Keep at it. You’re leading us forward. Nothing can stand in the way of millions of voices calling for change.	0
In Singapore with young people who are advocating for education, empowering young women, and getting involved all over Southeast Asia with a profoundly optimistic commitment to building the world they want to see. …	0
We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can honestly say that we're doing enough to keep them safe from harm, including long overdue, common-sense gun safety laws that most Americans want, then we have to change.	0
Just got off a call to thank folks who are working hard to help more Americans across the country sign up for health coverage. But it's up to all of us to help spread the word: Sign up through this Friday at  . …	0
May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.	0
To target hopeful young strivers who grew up here is wrong, because they’ve done nothing wrong. My statement:  	0
"""No one is born hating another person because of the color of his skin or his background or his religion..."""	0
Health care has always been about something bigger than politics: it's about the character of our country.  …	0
On this National Gun Violence Awareness Day, let your voice be heard and show your commitment to reducing gun violence.	0
"""Thanks to the Affordable Care Act, your coverage is better today than it was before.""

Watch the weekly address:  "	0
In the weekly address, President Obama discusses what #Obamacare has done to improve health care.  	0
The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate.  	0
The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back:  	0
Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered	0
Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open—make sure you and your family #GetCovered.	0
President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. 	0
Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: 	0
This is what happens when we focus on building an economy that works for everyone, not just those at the top.  	0
Health care is a right, not a privilege—and #Obamacare works to protect that right for millions of Americans.	0
Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up.	0
"""Nobody should be priced out of a higher education."" —@POTUS on the progress we've made:  "	0
"""LGBT individuals deserve to know their country stands beside them."" —President Obama #NationalComingOutDay"	0
".@RepJohnLewis on #GunViolence: ""The time for silence is over."""	0
The Paris Climate Agreement is a big deal in the fight against climate change—and now, a big step closer to reality.  	0
The United States is leading the way in the fight to #ActOnClimate.	0
Say you'll continue the fight to make gender equality a reality in America:   #WomensEqualityDay	0
We've come a long way, but there's still more to do to make sure women are truly treated equally. #WomensEqualityDay	0
Call on Congress to #DisarmHate. Add your name to support common-sense gun legislation:  	0
Doing nothing won't stop our country's gun violence epidemic. Congress must act to #DisarmHate.	0
Today, thousands of young DREAMers are able to fully contribute to our communities and our economy.	0
Not long ago, women could be charged more for health insurance—for being women. There's more to do:   #StandWithWomen	0
President Obama reflects on his experience as a feminist—and his hopes to continue building toward gender equality.  	0
"""We all have to do our job. The President has done his. Senate Republicans must do theirs."" —@VP Biden   #DoYourJob"	0
Six years later, and Republican leaders still have no credible #Obamacare alternative.	0
Judge Garland is a well qualified nominee. Senate leaders' refusal to even give him a hearing is unacceptable.	0
Let's be clear: #Obamacare is working and helping millions of Americans.	0
Add your name if you think we need common-sense legislation to prevent gun violence.   #DisarmHate	0
Actively ignoring this epidemic is unacceptable. Congress has to act. #DisarmHate	0
The federal minimum wage hasn't been raised since 2009. $7.25 isn't enough to make ends meet—we need to #RaiseTheWage.	0
Check out @VP Biden on the Supreme Court vacancy and Senate Republicans’ continued obstruction.   #DoYourJob	0
President Obama is delivering remarks at an interfaith memorial service for the fallen police officers in Dallas.  	0
Chicago raising its minimum wage is another reminder: Congress needs to keep up and #RaiseTheWage for hard-working Americans nationwide.	0
Congrats to Chicago and all those who fought to #RaiseTheWage. Boosting paychecks for hard-working Americans is the right thing to do.	0
After Monday's #SCOTUS ruling, more unconstitutional restrictions on women's reproductive rights are falling.  	0
Enough has been enough for a long time. Congress needs to vote on sensible gun legislation now. #DisarmHate	0
Congratulations to D.C., and thanks to Mayor Bowser and the D.C. Council for fighting to #RaiseTheWage. …	0
During a public health crisis, it's unconscionable that Donald Trump and others are continuing a lawsuit designed to strip millions of people of their health insurance. This morning, I called on them to drop the lawsuit and protect Americans' health care. …	0
"What is President Trump waiting for? 

Health care workers don't have enough masks to keep themselves safe.

Hospitals are running low on ventilators that sick Americans could literally need to breathe.

He needs to act now to deliver these essential supplies. Lives depend on it. …"	0
President Trump and Mitch McConnell are trying to put a corporate bailout ahead of families. It's simply wrong. We need to be focused on helping hardworking Americans, communities, and small businesses — not handing big corporations a blank check.	0
It’s simple: President Trump and Mitch McConnell are trying to put corporate bailouts ahead of families. And it’s wrong. Hardworking, struggling Americans should come first — not the big corporations looking for a blank check. …	0
President Trump’s dithering on preparing us for this global pandemic and his lies about his response to this dangerous crisis is one of the most unjustifiable failures of presidential leadership in American history. …	0
We should also increase monthly Social Security checks by $200/month, as proposed by Senator Wyden and colleagues. Seniors and people with disabilities are uniquely at risk right now.	0
Additionally, we should forgive a minimum of $10,000/person of federal student loans, as proposed by Senator Warren and colleagues. Young people and other student debt holders bore the brunt of the last crisis. It shouldn't happen again.	0
"On March 6th, Donald Trump claimed: “Anybody that wants a test can get a test.”

That was a flat-out lie then, and it’s still not true today. It’s a disgrace.

We need to ensure everyone who needs a test can get one free of charge. Period."	0
No bill should pass without conditions on corporations to ensure the help they get goes to their workers, not their CEOs. No blank checks.	0
Getting money quickly to families is the right goal, but Senate Republicans are proposing to send significantly lower amounts to low-income families than those with higher incomes. That’s terrible economics & terrible values. We should be targeting help to those who need it most. …	0
The least we can do for every grocery and retail worker working around the clock during this crisis is to provide a $15 minimum wage, paid sick leave, and strong workplace protections.	0
Every CEO in America should be focusing on workers, families, and communities — not executive compensation and share prices.	0
I am calling on every CEO in America to publicly commit now to not buying back their company's stock over the course of the next year. As workers face the physical and economic consequences of the coronavirus, our corporate leaders cannot cede responsibility for their employees.	0
"The Obama-Biden Administration set up the White House National Security Council Directorate for Global Health Security and Biodefense to prepare for future pandemics like COVID-19.

Donald Trump eliminated it — and now we're paying the price."	0
It is a national disgrace that millions of Americans do not have a single day of paid sick leave.	0
"If I win the nomination, my pick for vice president will be a woman. If I win the presidency and have the opportunity, I will name the first black woman ever to the Supreme Court.

A Biden administration will reflect the country we are proud to work for."	0
"We are in a battle for the soul of this nation. Donald Trump threatens everything we stand for, he has:

- Fanned the flames of hate
- Embraced white supremacists
- Separated families at the border
- Threatened our democracy

We have to get him out of the White House."	0
In the wake of the coronavirus, we need a major bailout package that delivers real relief to the American people — not more handouts for giant corporations.	0
"$90 billion in clean energy funding. A huge reduction in the cost of solar so that we'll never build another coal plant again. 



I did that. Bernie watched. #DemDebate"	0
The coronavirus pandemic is like a war. And in a war, you do whatever is needed to be done to take care of your people. #DemDebate	0
"We have to treat climate change like the existential threat it is. As president, I will:

- End subsidies for fossil fuel corporations
- Ban new drilling on federal lands & waters
- Hold oil executives accountable
- Rally the world to raise the commitments of the Paris Agreement"	0
"Bernie Sanders voted against comprehensive immigration reform — and then went on TV with Lou Dobbs to brag about it.

Immigrants don't take our jobs. They create jobs. And we need a President who believes that to his or her core. #DemDebate"	0
If Senator @BernieSanders is the nominee, I will throw my full weight behind his campaign and do everything I can to get him elected. If I am the nominee, I hope he will do the same. Nothing can keep us from being united in the fight to defeat Trump. #DemDebate	0
"Bernie Sanders voted against the Brady background check bill that has kept 3 million firearms out of dangerous hands, not once, not twice, but five times. 

We need a president who will stand up to the @NRA — not one who stood with them against lifesaving gun safety measures."	0
I took on Paul Ryan's cuts to Medicare and Social Security — to his face. #DemDebate	0
"Senator @BernieSanders' attacks on my record on Social Security are a bunch of malarkey — and @PolitiFact agrees.

We should be focused on going after Donald Trump — not fellow Democrats. #DemDebate …"	0
"This is a crisis. We’re at war with a virus. 

No one should have to pay for coronavirus health care costs. #DemDebate"	0
First: Bernie has put forward a plan that would make public colleges and universities free for families whose income is below $125,000. It's a good idea, and after consideration, I am proud to add it to my platform.	0
Across the country, middle and working class families are being squeezed by debt. This is a massive problem, and one that we need all of the best ideas to solve. That's why today, I'm adopting two plans from @BernieSanders and @ewarren to achieve this.	0
"Amy
Pete
Beto
Mike
Kamala
Cory
And you. 

#TeamJoe wouldn’t be here without your support. This is your campaign."	0
We’re building a campaign powered by the backbone and the base of the Democratic party. A campaign that will defeat Donald Trump and restore the soul of this nation. Join us: 	0
"Donald Trump's ""Remain in Mexico"" policy is dangerous, inhumane, and goes against everything we stand for as a nation of immigrants. My administration will end it. …"	0
Today is a historic day for the #MeToo movement & for survivors of sexual violence. The bravery of those who stopped Weinstein cannot be overstated, & the burden of speaking out cannot be on survivors alone. We have to change our culture & our system to end sexual assault. …	0
