text	label		
why is a sitting senator focused on a nyt piece that was published a year ago when he could be focused on say the  coronavirus  and the 140000 americans that have died?	0		
both of these crises are symptoms of lack of respect for each other and for the natural world.  says the coronavirus and climate crisis have a similar root cause but should not be compared to each other  	0		
waiting for covid vaccine   	1		
now the research from who is showing that the risk of asymptomatic people transmitting coronavirus is extremely rare. if that is true that means we do not need social distancing masking and it means that we can reopen america and get back to life as normal reopenamerica	1		
i hope they choose a new actor for the role of dr fauci on next season of  coronavirus	1		
new pres trump says he is restarting coronavirus briefings. i think its a great way to get information out to the public, he says, adding we had a lot of people watching in the history of cable television. theres never been anything like it  	2		
us coronavirus 3960583 cases and 143792 deaths reported in the united states to date.  62033 new cases and 504 new deaths have been reported so far today	1		
be safe we can beat coronavirus!	2		
trump admits he is tested for covid daily as are his family and senior staff. he knows the importance of testing for himself he does not care about the rest of you	0		
gov cuomo and new yorkers earn high praise from dr fauci. keep it up ny!  fauci holds up new york as model for fighting  coronavirus. they did it correctly    	2		
coronavirus news a young woman whose lungs were ravaged by covid19 is alive thanks to a double lung transplant say her surgeons. in chicago, this is the first known lung transplant in the us for covid19. offering new hope for patients heres the story	2		
got my dream car! now covid needs to be over so it can be road tripping time  	2		
covid  or no covid, please just stay away from me	1		
keep a safe physical distance and ive just witnessed a group of ladies kissing each other, shaking hands, having close conversations unmasked in a cafe in bangsar its as though covid 19 never existed  	0		
addendum its pretty incredible that were 6 months since our 1st covid19 case. is still incapable of understanding that the most important thing we must get right w kids in schools is minimizing how they spread the virus to adults 	0		
sending you love if you just started quarantining and are feeling antsy	2		
think of the insanity donald trump says its unsafe for roger stone or paul manaford to sit in a jail cell because of coronavirus  but its perfectly safe to leave your child in a room for six or eight hours with 20 other kids teachers and school staff   keepyourchildhome	0		
todays mbmc  covid  report 2072020  todays positive case. 126 recoverd today.  92 death today.  6 total death till now  226  	1		
i hope fake doctor rand paul gets covid  twice. he needs to shut his stupid kentucky mouth	0		
not only have there been no deaths from coronavirus in scotland in last 24 hours, there are now only 7 people with covid  still in intensive care in whole country. none outside lothian. praise where praise is due to nhs carers 	2		
why is dr fauci throwing out the first pitch of a baseball game if covid19 is raging out of control in america?	0		
negative for coronavirus but still positive for being a bitch   	1		
couple under house arrest after testing positive for covid 19  	1		
first human trial of oxford coronavirus vaccine shows promise	2		
uk secures supply for potential german coronavirus vaccine  	2		
 federal government is taking all possible steps to halt the spread of the novel coronavirus 	2		
i remember when cnn had her on panel of medical experts discussing the  coronavirus. why is she such an expert on climate change and the coronavirus? because theyre both scams scamdemic	0		
a coronavirus  vaccine the university of oxford is developing with astrazeneca plc showed promising results in early human testing, a sign of progress in the highstakes pursuit of a shot to defeat the pathogen  	2		
appreciates his fans for their work in extending relief to needy during coronavirus outbreak. urges them to take care of their families, wear mask, and follow social distancing	2		
face masks could reduce coronavirus number and prevent 2nd wave, scientists say. this is very hopeful news 	2		
i actually think 2020 offers a unique opportunity for change. the australian bushfires should change the conversation on the environment, coronavirus should change the conversation on economic inequality, and george floyd should change the conversation on racial inequality	2		
