text	label
Kansas GOP leadership just successfully blocked Medicaid expansion for another legislative session — in the middle of a pandemic and economic crisis. That’s so deeply irresponsible. #KSSen  #KSLeg  	0
PGH confirms increase in  coronavirus  patients #COVID19    …	0
Trump may be done with the  coronavirus  but the  coronavirus  is not done with America by a long shot	0
Wearily re-upping this piece: The bit in Part III about people spreading the virus before symptoms is still applicable, as, sadly, is the bit in Part V about the WHO's messaging failures. The confusion continues.  	0
1/Four out of the five most populous counties in Texas — Dallas, Harris, Bexar and Travis — have hit their highest seven-day average of new cases of #coronavirus  in the last week. Dallas and Harris are currently at their highs.   	0
Florida's Gov. Ron DeSantis shrugs off bad  coronavirus  news as cases rocket 35% in a single day.    	0
A lot of cities are canceling Fourth of July celebrations because of the  coronavirus . You can gather to riot but not celebrate our country?   Liberal hypocrisy at its finest.	0
URGENT ALERT!!!  All MAGA Morons, before you attend your  coronavirus  trump rally, do not forget to sign your waiver saying if you get  coronavirus , it is not trumps fault.  By the way, when you attend, the person standing next to you who coughed probably has  coronavirus .  Enjoy!!!  	0
Coronavirus : Huge disruption to cancer care revealed    	0
Dr. Fauci delivered a grim assessment of #coronavirus  calling #COVID19  his “worst nightmare”—highly contagious respiratory infection causing serious illness & death.  “In a period of 4 months, it has devastated the whole world. And it isn’t over yet.”  	0
If we had a president who told people to wear masks, less Americans would end up dying of  coronavirus	0
Trump’s mishandling of #COVID19  and his senseless economic policies led us into a recession and brought an end to the longest economic expansion in American history. This is his legacy.   	0
14 states and Puerto Rico hit highest seven-day average of new  coronavirus  infections    	0
Fucking  Coronavirus     	0
Something I don't think is appreciated is the extent to which current  coronavirus  spread in the US is occurring at a medium-high level in many places, as opposed to a super-high level in some places.  At the peak in NYC, an estimated 11% of people had an active COVID infection!	0
Coronavirus : Beijing shuts food market and goes into in 'wartime emergency mode' after spike in COVID-19 cases   	0
Survey reveals French public has lost confidence in scientists during the  coronavirus  pandemic    	0
A*tifa is old hat in the U.K. they failed. BLM doesn’t exist because it’s never an issue. The MSM always use crowd footage from other events and edit crowd numbers. I’ve been apart of fake news. MSM is being ignored on mass because of  coronavirus . They have dug their own grave #Q	0
Iran is struggling to maintain its influence over Iraqi militias since the killing of a top Iranian general and top militia leader in a U.S. drone strike. Iran's economy is being hammered by the combination of U.S. sanctions and the  coronavirus  pandemic.    	0
