text	label
Coronavirus  Risks: Dems say 'Yes' to Antifa Protests and 'No' to Trump Rallies   sk-dems-say-yes-to-antifa-protests-and-no-to-trump-rallies/?utm_source=twitter&utm_medium=social&utm_campaign=social-pug   …  via @SaraCarterDC	0
Sheikh Rasheed Tested Positive for  Corona Virus . May good bless him with good health and he recover soon. #SheikhRasheed 	0
Just got my  coronavirus  test results  	0
BREAKING NEWS: Dinkleberg tests negative for  Coronavirus   	0
Oxford scientists working on  Coronavirus  vaccine 'near breakthrough' on antibody treatment    myeveryday.news/post/oxford-sc ientists-working-on-coronavirus-vaccine-near-breakthrough-on-antibody-treatment   … 	0
Sources: Expected protocol if an NBA player leaves the Orlando bubble: Quarantined for no less than 10 days and must have two negative  coronavirus  tests.	0
Forget the #coronavirus . Somebody, PLEASE develop a vaccine for white guilt!  #WeveGotACountryToSave 	0
Don't want  Exams  in AP because of  corona virus  is day by day increasing in AP it is not safty to conduct the All Exams so please cancel.  @ysjagan  @AndhraPradeshCM   @AudimulapSuresh     #CancelAllExamsPromoteStudents    @NtvTeluguLive  @TV9Telugu  @tv5newsnow    #APStudentTrends	0
# StudentLivesMatter  Tealangana CM office sealed due to staff members tested positive for  corona virus .If virus can enter in to the cm office which is taken care with all protective measures,why can't it enters in to the college with less protective measures?So please listen to us	0
By now, we ought to be seeing some evidence of increasing #COVID19  cases from the mass protests. That we are not (and not even an increase in testing demand) raises very serious doubts about the #coronavirus  lockdowns and other NPIs (many of which are still ongoing). (thread  )	0
Dutch protesters demand end to fur farming after  coronavirus  outbreak    	0
Once again Trump Admin is not prepared. Why wasn’t this anticipated? Remdesivir, the only drug known to work for Covid-19 treatment will run out at the end of this month. Guess it’s not one of Jared Kushner’s “success stories”  google.com/amp/s/amp.cnn. com/cnn/2020/06/10/health/us-coronavirus-wednesday/index.html   …	0
Good news that further #coronavirus  human vaccine trials begin next week. An encouraging step forward in our national effort.    itv.com/news/london/20 20-06-08/imperial-college-london-to-start-human-covid-19-vaccine-trials/  …	0
Since the signing of #Schengen  Treaty 35 years ago today, citizens have learned to enjoy the value of freedom of movement in the EU. I am happy that after the restrictions imposed by the #coronavirus  pandemic, borders are now reopening across the Schengen area and the EU.  	0
Earhardt is taping Fox&Friends from Hannity’s basement studio at his Long Island mansion during the  coronavirus . My latest:   vanityfair.com/news/2020/06/s coop-sean-hannity-and-ainsley-earhardt-are-the-first-couple-of-fox   …	0
# CancelTSExamsPromoteStudents   The case of  corona virus  is happening for the first time in many years. No one was looking forward for this to happen. Please don't make it more hard for students and parents, we are already having a hard time.   a/status/1270939774069555200   …	0
"We need to move on from the ""people were allowed to protest the  coronavirus  because they were white"" narrative. They were not all white, some were arrested, they didn't loot or burn anything, and it is their legal right to open carry. These two photo definitely aren't different.  "	0
JUST IN: 4 State House, Nairobi staffers test POSITIVE for  Coronavirus  - Kanze Dena #coronavirus  #mondaythoughts 	0
80% of US voters believe things are out of control in the country, with majorities concerned about the  coronavirus , the economy and President Trump’s ability to unite the nation, according to latest NBC News/WSJ poll.    	0
Are they literally f****** kidding!?! Shut down Nations, demolish economies, lock people inside their homes, strip their sanity and freedom only now to state ASYMPTOMATIC SPREAD IS 'EXTREMELY RARE'! But don't worry no one will protest over this! #Scamdemic  cnbc.com/amp/2020/06/08/asymptomatic-coronavirus-patients-arent-spreading-new-infections-who-says.html?__twitter_impression=true   …	0
UK will not participate in EU’s #coronavirus  fast track vaccine scheme. #torybrexit  #COVID19  catastrophe  theneweuropean.co.uk/top-stories/uk -government-left-out-of-coronavirus-scheme-due-to-brexit-1-6697267   …	0
117,000 Americans have now died from the  coronavirus . There is no cure. There is no vaccine. There still aren’t enough tests. Or tracing. Cases are spiking in some states. And the president of the United States has absolutely no plan to do anything about it.	0
The global seafood industry is to sustain a temporary blow after the latest #coronavirus  outbreak Beijing's Fengtai District, causing salmon sales to be suspended nationwide, analysts said.     	0
This is starting to make the rounds. Don’t be fooled. Covid takes 1-2 weeks. The latest spike is from those Memorial Day dopes. Keep fighting! Stay safe & if you’re immuno-compromised or feeling ill STAY HOME! There are lots of ways to show your support!  irus-updates-us-reports-21000-cases-amid-mass/story?id=71014105&cid=social_twitter_abcn   …	0
# PAYCUTMPS  Time for MPs LORDS Do right thing Min 20% PayCut RT @SWLNHS : Stay alert to the symptoms of  coronavirus   Self-isolate and order a test if you develop: - a new continuous cough -…   272499931836829698   …	0
We are currently overwhelmed with what’s happening in our cities but spare a thought for the people of eastern Uttar Pradesh.  One  coronavirus  testing lab for a population of 30 million.   I report from Jaunpur and Varanasi.       …	0
With protests are mostly over, the press is desperately trying to return to pushing the lockdown. Too late.  We know they are liars, and that they will break any lockdown rule whenever they want.  politico.com/news/2020/06/1 0/white-house-stops-talking-about-coronavirus-309993   …	0
Donors tonight at $3-million fundraiser with Pres Trump at his NJ Golf Club underwent  Coronavirus  tests to get in. They had to test negative for COVID-19, fill out a wellness questionnaire and pass a temperature screening. Costs for the tests paid by the Trump Campaign and RNC.	0
Somalia's extremist group al-Shabaab sets up COVID-19 treatment centre, with a round-the-clock hotline. Interesting that Shabaab is more enlightened on  coronavirus  than the Tanzania & Burundi govts!   africanews.com/2020/06/13/som alia-covid-19-hub/  …	0
We just broke the downtrend on #COVID19  in America.  #CoronaVirus  #Protests 	0
There are more than 135 vaccines in development to prevent the spread of  coronavirus . Keep track of the progress of all the vaccines that have reached human trials here:    	0
Indonesia #COVID19  Daily people tests Stats:  Until today updates Indonesia has tested total 287,478 people with result of 34,317 total positive cases, with 11.93% positive rate.   Below is charts of people tested per day.  #COVID19indonesia 	0
# COVID19  drive-in test centres run by Deloitte; contract tracing run by Serco, helped by Capita. I think George Bernard Shaw had something to say on the matter in 1911.  #coronavirus   	0
Coronavirus  doesn’t give a shit what you’re protesting 	0
I tested positive for SARS-CoV-2, in contact tracing two weeks ago. As per Uttar Pradesh guidelines, I was immediately isolated.  Here's my personal experience of days in isolation ward-26, in Govt's PGI Hospital, Noida. #GautamBuddhNagar  #COVID19India  indiatoday.in/india/story/co vid-diary-my-week-as-a-coronavirus-patient-at-a-noida-hospital-1688537-2020-06-13   …	0
This isn't good: COVID19 hospitalizations have been on the rise since Memorial Day in Texas, the Carolinas, Calif., Oregon, Ark., Miss., Utah, and Arizona. Overall, the US continues to have 20,000 known cases per day and testing is down rather than up.  washingtonpost.com/nation/2020/06/09/coronavirus-live-updates-us/  …	0
# PMIKLeadingPakistan  Former PM Yousuf Raza Gilani tests positive for  coronavirus   	0
16/The protests are vital.  The may change the politics, economics and texture of the nation.  The  coronavirus  can change the politics, economics and texture of the nation, too — while doing a lot of damage.  #	0
Coronavirus : Oxford scientists working on COVID-19 vaccine 'near breakthrough' on antibody treatment   rus-oxford-scientists-working-on-covid-19-vaccine-near-breakthrough-on-antibody-treatment-12002160   …	0
One of the greatest assets we have to stop the  coronavirus  spreading is you.  Please stay local, making sure that you’re keeping 2 metres apart, and washing your hands regularly, especially when you return home.  With your help, we can #KeepWalesSafe . 	0
There are more than 135 vaccines in development to prevent the spread of the  coronavirus . Keep track of the progress of the vaccines that have reached human trials here.    	0
"If ""You're About to Lose Your Job"" isn't nominated for Song of the Year, I'm protesting.  Not saying it should win. Everyone knows Cardi B's "" Coronavirus "" has it locked."	0
WH announces Jared has been undergoing 2 years of Botox as a  Coronavirus  vaccine. Results are disappointing. He’s lost his dimples and turned into Stephen Miller.  	0
Thankfully, all four officers have been charged. The protestors have made their point and change is happening. But the massive crowds of protestors is overkill at this point and a serious health risk with the  coronavirus  still out there with no cure or vaccine.	0
George Floyd death: Protests 'undoubtedly risk' increasing  coronavirus  cases, Matt Hancock says   loyd-death-protests-undoubtedly-risk-increasing-coronavirus-cases-matt-hancock-says-12002125   …    more demos thousands more dead end of racism fucking idiots wake up plebs of  britain	0
"""Federal health officials on Friday urged organizers of large gatherings that involve shouting, chanting or singing to “strongly encourage” that attendees use cloth face coverings to lower the risk of spreading the  coronavirus ."" @bylenasun  @chelsea_janes  washingtonpost.com/health/2020/06/12/cdc-masks-protests-rallies/  …"	0
Starbucks says it lost $3 billion in revenue in latest quarter due to  coronavirus  pandemic    	0
The University of Houston has suspended voluntary workouts for all student-athletes after six symptomatic student-athletes in various sports tested positive for the  coronavirus .     	0
People who say the  coronavirus  test is uncomfortable I raise you this  	0
NEW @NBCNews  poll: 80 percent of voters say things are out of control in the U.S.   --by more than 2-to-1, they’re more worried about the actions of police than they are by protests. --63% “very” or “somewhat” worried they or someone in their family might catch  coronavirus	0
To control #coronavirus , testing and tracing must become a new way of life.  This video explains what you need to do to play your part.  More info:        for more information and to book a test. 	0
"So Wales has lowest ""R rate"" for  coronavirus  and fastest predicted rate of decline in the UK. Well worth staying at home for. Thank goodness we've taken absolutely no notice of the Welsh Tory MPs urging Welsh Government to follow England. Well done everyone lets keep it up"	0
Ghana’s Minister for Health tests positive for  Coronavirus  | More here:      #CitiNewsroom	0
The Nigerian wonderboy @UsmanDalhatu5  who invented emergency ventilators in the wake of  corona virus  pandemic has developed his latest version of a sweeping machine.  	0
90% of the UK  coronavirus  cases traced back to holiday hotspots Spain, France, Belgium and Italy. At the height of the pandemic, there were no quarantine rules for arrivals and still no tests. The govt negligence caused thousands of avoidable deaths.   mirror.co.uk/news/uk-news/m ost-uk-coronavirus-cases-traced-22173229   …	0
Christian Happi is working in Nigeria to develop COVID-19 tests. “People might have thought that this work was impossible in Africa, but we are demonstrating that the continent’s scientists can generate crucial data in the global fight against COVID-19.”   	0
# COVID19  is still out there and among us. There is no vaccine, and there are no proven therapeutics. The only real protections we have against  coronavirus  are:  Social distancing  Testing  Contact tracing	0
PEOPLE TESTED FOR COVID.  NO DATA.  15 DAYS IN A ROW  #coronavirus  #COVID   	0
At a time when  coronavirus  cases are on the rise, @kims_pbmh  COVID Hospital - the first and only of its kind Public Private Partnership model based standalone facility - has successfully treated over 1000 patients in #Odisha ... Read More:     … 	0
ALERT: Trump to speak at West Point graduation despite Cuomo’s  coronavirus  orders, infections on campus - Global Pandemic News | #Coronavirus  #COVID19  #Protests  -   speak-at-west-point-graduation-despite-cuomoscoronavirus-orders-infections-on-campus/  …	0
A second wave of the  coronavirus  is on the way. When it arrives, we will lack the will to deal with it.  Despite all the sacrifices of the past months, the virus is likely to win.  My latest @TheAtlantic .  [Thread.]  theatlantic.com/ideas/archive/2020/06/virus-will-win/612946/  …	0
Good morning, I am the father of two children with special needs, and treating them is very expensive. I am a poor person.I cannot afford that. We are a large family of 15people. We lived in one house.I used to work before the  Corona virus  crisis.These are pictures of the house  	0
"On Fox News:  —White protesters demanding haircuts are ""patriots""  —Black protesters demanding an end to police killings are ""thugs"" and ""looters""  — Coronavirus  is a plot to destroy Trump  Trump's propaganda machine is a clear and present danger to the United States.  Pass it on.  "	0
# PAYCUTMPS  Time for MPs LORDS Do right thing Min 20% PayCut RT @ReesAstley01970 : If you're not sure about #coronavirus  testing, including who eligibility and how to get tested, check out this usef…   272500182681366529   …	0
EVER SINCE ANTHONY WEINER'S LAPTOP GOT CONFINSCATED AND SEARCHED WE'VE HAD  CORONAVIRUS , MURDER HORNETS, AND NOW THE PROTESTS. DISTRACTIONS FROM HILLARY CLINTON'S PEDO RING AND CHILD TRAFFICKING PLANS. ALMOST ALL OF THE 12 FBI AGENTS THAT SAW THE LAPTOP HAVE DIED.  	0
Hillary Clinton questions how 'anybody with a beating heart and a working mind' can still support Trump after disastrous  coronavirus  and protest response   independent.co.uk/news/world/ame ricas/us-politics/hillary-clinton-trump-coronavirus-george-floyd-protests-a9553516.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1591562270   …	0
In Florida COVID cases are on the rise. Is this really because of testing?   The message that you’re hearing loud and clear is that the virus is still here,” said Dr. Alina Alonso, Palm Beach County’s health department Director.   #wtpFL2020  #wtp2020  sun-sentinel.com/coronavirus/fl -ne-coronavirus-case-increase-june-florida-20200612-h7xzya2xxjbsfmk4xhzv75hrre-story.html   …	0
"main argument for shutdowns just blown apart by ""the data""  we're now told it's ""very rare"" for people with no symptoms to spread the virus  on top of the protests, what possible reason is there not to re-open EVERYTHING, EVERYWHERE with NO RESTRICTIONS   axios.com/who-coronaviru s-asymptomatic-patients-08d84e31-1846-44d8-8fe1-2343ff850764.html   …"	0
After two meat inspectors in Beijing were discovered to have  coronavirus , authorities tested almost 2,000 people working in markets. Four more confirmed and 46 asymptomatic cases were found. Beijing is now battening down the hatches (again)   washingtonpost.com/world/beijing- goes-into-wartime-mode-as-virus-emerges-at-market-in-chinese-capital/2020/06/13/65c5aac8-ad40-11ea-868b-93d63cd833b2_story.html   …	0
Would you take a rushed out vaccine where you don’t know what’s in it, it hasn’t been tested, & where the NHS has no liability for what might go wrong?  express.co.uk/news/uk/129545 3/coronavirus-vaccine-latest-news-uk-covid19-oxford-university-trials-drug-treatment   …	0
"Unreal.  ""There is ample reason to tie the latest surge of infections to relatively early reopenings...Most of the 10 hardest-hit states that have seen rising case levels started reopening on or before May 8,"" NYT reports.  Exactly what experts predicted.  nytimes.com/2020/06/14/us/coronavirus-united-states.html?action=click&module=Top%20Stories&pgtype=Homepage   …"	0
The Beijing authorities shut down a major seafood and produce market and locked down several residential complexes on Saturday after 53 people tested positive for the  coronavirus  in the city    	0
Free #coronavirus  testing today  10am—2pm   F Street NW btwn 4th & 5th    2241 Martin Luther King Jr Ave SE... this site has had the shortest line  4pm—8pm   Engine 4 2531 Sherman Ave NW    Engine 12 2225 5th Street NE  Need a test? Get a test      #COVID19	0
Itzan Escamilla testing for  coronavirus  before starting filming season 4 of #EliteNetflix 	0
Race of #Coronavirus  #Vaccine  | Where Does the #World  Stand Now?   f-corona-virus-vaccine-where-does.html   …  #SeattleAutonomousZone  #voguechallange  #hushpuppy  #coronavirus  #BANGBANGCON_TheLive  #COVID__19  #Corona  #zaviews	0
3-Hydroxychloroquine: Is a very smart drug that's very safe when used for malaria or Lupus... but when it realizes you’re taking it for  coronavirus : it kills you. And...	0
Serco wins Covid-19 test-and-trace contract despite £1m fine  Read in conjunction with: How a decade of privatisation and cuts exposed England to  coronavirus     theguardian.com/world/2020/may/31/how-a-decade-of-privatisation-and-cuts-exposed-england-to-coronavirus?CMP=Share_AndroidApp_Copy_to_clipboard   …     theguardian.com/world/2020/jun/06/serco-wins-covid-19-test-and-trace-contract-despite-1m-fine?CMP=Share_AndroidApp_Tweet   …	0
Surat :  Coronavirus  Latest Updates. #suratupdate  #coronaupdate  #corona  #gujarat  #navgujaratsamay  #ahmedabad  #india  #CoronaVirus   	0
12 new corona positive patients in Nashik City #coronavirus  #Nashik  #LatestUpdate 	0
Nearly 1,000 Americans are still dying every day from  coronavirus . This pandemic is not over. We'll check in w/medical experts tonight during our special @CNNSitRoom  7-10PM ET. Here are the latest numbers of U.S. deaths: June 9 - 983 June 10 – 930 June 11 – 896 June 12 - 851	0
# Coronavirus  Risks:   .@TheDemocrats  say ‘Yes’ to #ANTIFA  Protests and ‘No’ to Trump Rallies  sk-dems-say-yes-to-antifa-protests-and-no-to-trump-rallies/  …	0
Chief nurse dropped from Downing Street  coronavirus  briefing ‘after refusing to back Dominic Cummings’  A pattern emerges; the slightest hint of anti-Dom sentiment, and you’re out!  #NotMovingOnTilDomHasGone     independent.co.uk/news/uk/politi cs/coronavirus-chief-nurse-dominic-cummings-ruth-may-daily-briefing-downing-street-a9562741.html   …	0
1/X UKGOV Crime Against Humanity Confirmed  In the latest Genetic Study, it is confirmed that the primary cause of higher UK rate vs similar country of 1. increase in #Coronavirus  Growth  2. Deaths due to #Coronavirus  has a single common factor.  Airport Dispersal of #Covid19	0
Donald Trump is now down by more than 8 points in polling averages.  Coronavirus  is resurgent. Expanded UI is set to expire on July 31st. The nation has exploded in protests over police brutality.   And he's doing...nothing. About any of it. He's just rage tweeting.	0
 Latest global status of Covid-19  Coronavirus   	0
Just days after #Tesla  reopened its Bay Area plant, several employees reportedly tested positive for #coronavirus     	0
Dear people concerned that Black Lives Matter protests are spreading  coronavirus :  Where were you when Black people were dying at higher rates than white people?  Where were you when people celebrated VE day at the height of lockdown?  Your outrage isn't about  coronavirus , is it?	0
" Safari parks and drive-in cinemas can open from Monday, as well as zoos ""provided visitor numbers are managed"", the Prime Minister has announced  All the latest   telegraph.co.uk/global-health/science-and-disease/coronavirus-news-shops-schools-uk-deaths-lockdown-update/  …"	0
Shocker, looks like the Amazon @washingtonpost  is running pure propaganda to gaslight people into believing that it was Memorial Day and not the massive riots and protests that they applauded and helped promote that's causing a spike in  coronavirus  cases.  Give me a break!    	0
Dr Quick’s address was read aloud at an open meeting when a protestor invited demonstrators to her house to do calisthenics in masks, so that when they died Dr. Quick would be charged with murder  They also appeared with signs depicting her as Hitler.  latimes.com/california/sto ry/2020-06-09/orange-county-public-health-officer-resigns-amid-controversy-over-face-coverings   …	0
COVID19 patient discharged from Gandhi hospital Hyderabad without treatment. No care ..If  Corona virus  spread fast what would be the rate of people  	0
"Denis Mukwege, the Congolese doctor & human rights activist who won a Nobel, resigns from the #coronavirus  task force in DRC. He cites a poor government response. It takes 2 weeks to get test results in S. Kivu:  ""A major handicap for our strategy.""   rfi.fr/en/africa/2020 0611-dr-congo-covid-19-response-under-fire-as-nobel-peace-laureate-dr-denis-mukwege-quits-task-force   …"	0
Getting tested today for  coronavirus  because of mild symptoms. It's super efficient and easy so far!  	0
Hydroxychloroquine rated ‘most effective’  coronavirus  treatment, poll of doctors finds:    roxychloroquine-most-effective-coronavirus-treatment-poll/?fbclid=IwAR1mE6GB1QAZyJIFV3PmX8NdWIs2BgitoEnBV6OadjQu-0UvUDiw29iS5sk   …	0
Venezuela: We have received medical equipment and  Coronavirus  diagnostic tests from Iran    	0
Corona virus  has become less dangerous, the corona vaccine will come soon  	0
‘The scientists were trying to be as sensitive to economic issues on #COVID19  as they were to health issues. That’s a dangerous place to be because it compromises the ability of the advisory group to protect health.’  theguardian.com/politics/2020/jun/14/the-lancets-editor-the-uk-response-to-coronavirus-is-the-greatest-science-policy-failure-for-a-generation   …	0
