cleaned	prediction
 after my friends bought the masks, they found the mask helped them a lot. dwi rahayu began making these transparent face masks to help deaf and mute people communicate during the #coronavirus pandemic in indonesia. @zazein #bersatulawancovid19 	2
 attention my people of el monte a subway employee located on 10533 garvey ave has tested positive for covid  19. avoid that establishment	1
 breaking barbados records additional coronavirus case involves a 76 yo bajan arriving from uk yesterday. has since been isolated.  july 19th barbados covid  by the numbers confirmed cases 105, tests completed 9495, recovered 91, deaths 7  	1
 coronavirus probably coming back. the first wave never ended, we acclimated to 1,000 deaths a day and dont talk about it, and the entire social contract has been called off between the government and the governed. six months left in 2020.	0
 did you know that respiratory and contact transmission are the two major modes of transmitting covid 19 coronavirus   	1
 federal government is taking all possible steps to halt the spread of the novel coronavirus 	2
 he said that the command and control centre for coronavirus had prioritized providing safety material to the frontline medical staff especially in emergency and intensive care units icu  	1
 latest global status of covid19 coronavirus 	1
 managing spread of coronavirus  are pregnant women with  coronavirus  at risk? to find out watch our webinar with dr m gupta amc president as he talks about the  coronavirus  infections  pregnancy  visit  	1
 policies of the prime minister imran khan r in the right direction resulting in revival of economy and reduction in covid 19 cases as well  	2
 safari parks and drivein cinemas can open from monday, as well as zoos provided visitor numbers are managed, the prime minister has announced all the latest 	2
 teachers are to receive a 31 percent pay rise following their vital contribution during the coronavirus outbreak, the chancellor will say today  	1
 this is the difference between pakistan and india covid 19 measures. due to the decisive policies of imran khan there is a downward trend of covid  19 and decreasing every day  	2
 wake up, if government conduct the examinations during this pandemic crisis they are responsible for the students no matters how many students has been effected by  covid 19 	0
dr. anthony s. fauci, delivered a grim assessment of the devastation wrought around the world by the virus, describing covid19 on tuesday as his worst nightmare 	0
vietnam literally declared war on the coronavirus . the military was mobilized for health care missions, and their bases converted to mandatory quarantine sites,⊝ reports special correspondent mike cerre  	1
weve seen what happens when the roads are quieter ⊓ and millions of people have responded by jumping on bikes for the first time in years or, indeed, for the first time ever.⊝	1
@rajinikanth appreciates his fans for their work in extending relief to needy during #coronavirus outbreak. urges them to take care of their families, wear #mask and follow #socialdistancing . 	2
# coronavirus fatalities in iran exceeded 50,000 this catastrophe and such great loss of lives could have been avoided. the death toll in #iran and even the official figures could not be compared to the death toll in other countries in the middle east. 	0
# coronavirus is in retreat across the country but we must still be vigilant in our national effort & protect our nhs 	2
# coronavirusupdates 202069 23:59 utc total #covid19 deaths chart 1 usa: 114.148 +1.093 uk: 40.883 +283 brazil: 38.497 +1.185 italy: 34.043 +79 france: 29.296 +87 spain: 27.136 +0 mexico: 14.053 +354 	1
# covid19 drivein test centres run by deloitte; contract tracing run by serco, helped by capita. i think george bernard shaw had something to say on the matter in 1911. #coronavirus 	1
# eliminateptmbla dawar is seen telling the villagers that coronavirus is nothing and that it is just  a way to make money @tmrocks	1
# ourarmyourpride according to ispr, the pakistan army is ready to deal with the situation caused by the corona virus . according to the decisions of the national security committee, the medical facilities of the pakistan army are ready to compete...!!!! @teamispofficial 	2
# pmikfightingfornation prime minister imran khan had last month launched the relief fund to fight coronavirus and had urged everyone to donate generously to the initiative. 	2
# pmikfightingfornation prime minister imran khan on friday sounded optimistic that war against coronavirus will be won with the united resolve of the nation. @teampvfofficial	2
# pmikfightingfornation to fight coronavirus , pm khan announces a youth force, charity fund	2
# pmikleadingtheworld i really appreciate and admire his leadership during the fight against coronavirus , he is an amazing leader. great leader @mashterani 	2
# pmikleadingtheworld pakistan⊙s allweather ally china, despite being hit by the coronavirus itself, also has lent a supporting hand and doled out muchneeded medical equipment and other goods both at the government and provincial levels. @binish88 	2
# pmikleadingtheworld the scheme ehsas emergency cash programme is aimed at providing relief to poor people hit by the lockdown, put in place due to coronavirus . @lmaha01 	1
$87 million dollars is a lot of hardearned tax payer money. and at the moment money is hard to come by for a lot of new zealanders. one principal says he now has $70,000 of modems stored in a school cupboard. what a terrible waste. #education #nzpol 	0
10000 people in melbourne refused to take the scam test despite heavy handed state tactics. obviously they are not convinced by the scamdemic. 100 covid deaths so called out of 25 mill is 0000004 of australias population   	0
117,000 americans have now died from the coronavirus . there is no cure. there is no vaccine. there still aren't enough tests. or tracing. cases are spiking in some states. and the president of the united states has absolutely no plan to do anything about it.	0
13 million public education jobs could be at risk if it doesnt move to prioritize funding for state and local governments in its next coronavirus stimulus package  	0
14 states and puerto rico hit highest sevenday average of new coronavirus infections 	0
